outcome,AUROC,AUPRC,quantile_split,quantile_assignment,metab
rop_any,0.6906302458511293,0.6596479029028137,PRO_quant_5,1.0,PRO
rop_any,0.6961997474433816,0.6698433212584725,PRO_quant_5,2.0,PRO
rop_any,0.6895502051894826,0.6334967390505355,PRO_quant_5,3.0,PRO
rop_any,0.693588220218541,0.6244661955517842,PRO_quant_5,4.0,PRO
bpd_any,0.6921409724839803,0.6569363264204436,C101_quant_5,0.0,C101
bpd_any,0.7343465391621129,0.7273921061477613,C101_quant_5,1.0,C101
bpd_any,0.7439504445772441,0.7532226122306485,C101_quant_5,2.0,C101
bpd_any,0.709399567050245,0.738578396095559,C101_quant_5,3.0,C101
bpd_any,0.6635942346287176,0.6641971622968137,C101_quant_5,4.0,C101
ivh_any,0.7086940836940838,0.6613193980617615,C101_quant_5,0.0,C101
ivh_any,0.7116693692780649,0.6846267712655982,C101_quant_5,1.0,C101
ivh_any,0.7217177502081522,0.7202820642144017,C101_quant_5,2.0,C101
ivh_any,0.728858751556494,0.7449550608927832,C101_quant_5,3.0,C101
ivh_any,0.6725298408488064,0.6536890990547861,C101_quant_5,4.0,C101
nec_any,0.6895916583416584,0.8670345067272637,C101_quant_5,0.0,C101
nec_any,0.6890322762033287,0.8703877490165102,C101_quant_5,1.0,C101
nec_any,0.7121616523961025,0.8843763330920346,C101_quant_5,2.0,C101
nec_any,0.7059313385312487,0.8830203912912911,C101_quant_5,3.0,C101
nec_any,0.6587533156498673,0.8189969645715957,C101_quant_5,4.0,C101
rop_any,0.6637966463915832,0.574298384893795,C101_quant_5,0.0,C101
rop_any,0.6949420442571128,0.625632853574419,C101_quant_5,1.0,C101
rop_any,0.720711548301536,0.6876609991938483,C101_quant_5,2.0,C101
rop_any,0.6962503486246114,0.6689030394103377,C101_quant_5,3.0,C101
rop_any,0.6469649162346931,0.5561071715594263,C101_quant_5,4.0,C101
bpd_any,0.6734097432706397,0.5912316019698726,RO_C_quant_5,0.0,RO_C
bpd_any,0.7354614583980612,0.7334597466776636,RO_C_quant_5,1.0,RO_C
bpd_any,0.712534329964042,0.7462049523221952,RO_C_quant_5,2.0,RO_C
bpd_any,0.7074849087161367,0.7295785953166007,RO_C_quant_5,3.0,RO_C
bpd_any,0.6456845317160921,0.7179508926212221,RO_C_quant_5,4.0,RO_C
ivh_any,0.7047070914696814,0.5957586099324386,RO_C_quant_5,0.0,RO_C
ivh_any,0.7189918377478609,0.6744091625661935,RO_C_quant_5,1.0,RO_C
ivh_any,0.7143357985326897,0.7547264611713598,RO_C_quant_5,2.0,RO_C
ivh_any,0.6748488507796545,0.7132205365056208,RO_C_quant_5,3.0,RO_C
ivh_any,0.6340918310898026,0.6992389188250938,RO_C_quant_5,4.0,RO_C
nec_any,0.6801731601731602,0.8097178236062094,RO_C_quant_5,0.0,RO_C
nec_any,0.7220826941159004,0.8751651233580278,RO_C_quant_5,1.0,RO_C
nec_any,0.7207221703729927,0.9033932657185546,RO_C_quant_5,2.0,RO_C
nec_any,0.6578308446369543,0.8618729378020998,RO_C_quant_5,3.0,RO_C
nec_any,0.6162941256644405,0.8551026900245258,RO_C_quant_5,4.0,RO_C
rop_any,0.6673149015932521,0.549073608575736,RO_C_quant_5,0.0,RO_C
rop_any,0.7019521525117374,0.6234096213714495,RO_C_quant_5,1.0,RO_C
rop_any,0.6824332354718717,0.6529661213644995,RO_C_quant_5,2.0,RO_C
rop_any,0.6900136524253133,0.6539311107130807,RO_C_quant_5,3.0,RO_C
rop_any,0.638913544269377,0.6454028412810137,RO_C_quant_5,4.0,RO_C
bpd_any,0.7328412880651687,0.7758524465940546,R8_10_quant_5,0.0,R8_10
bpd_any,0.7257030877601821,0.7511887070722003,R8_10_quant_5,1.0,R8_10
bpd_any,0.7111543738643528,0.7037500453114843,R8_10_quant_5,2.0,R8_10
bpd_any,0.6972787967284789,0.6639586833655027,R8_10_quant_5,3.0,R8_10
bpd_any,0.6979622817773106,0.6590177165535098,R8_10_quant_5,4.0,R8_10
ivh_any,0.724643584521385,0.7539882037715941,R8_10_quant_5,0.0,R8_10
ivh_any,0.7172242314647378,0.7437725206382513,R8_10_quant_5,1.0,R8_10
ivh_any,0.7257019029521921,0.6949193967475756,R8_10_quant_5,2.0,R8_10
ivh_any,0.6941865509761388,0.6561069199196109,R8_10_quant_5,3.0,R8_10
ivh_any,0.6913545973421641,0.6278179613048518,R8_10_quant_5,4.0,R8_10
nec_any,0.702463549522373,0.8971938987065913,R8_10_quant_5,0.0,R8_10
nec_any,0.702174740649091,0.885608914546304,R8_10_quant_5,1.0,R8_10
nec_any,0.7042303160375373,0.8751782914363482,R8_10_quant_5,2.0,R8_10
nec_any,0.68104021165348,0.8243302614153039,R8_10_quant_5,3.0,R8_10
nec_any,0.6790801983638144,0.8380387338302793,R8_10_quant_5,4.0,R8_10
rop_any,0.7006424222110497,0.7053621101275326,R8_10_quant_5,0.0,R8_10
rop_any,0.7029562826060581,0.6883666283150727,R8_10_quant_5,1.0,R8_10
rop_any,0.6897285034874696,0.6147882444097157,R8_10_quant_5,2.0,R8_10
rop_any,0.6818666992202784,0.5840610320272338,R8_10_quant_5,3.0,R8_10
rop_any,0.669414778682673,0.5426061694438444,R8_10_quant_5,4.0,R8_10
bpd_any,0.7490810074880871,0.7676963981164905,ARG_quant_5,0.0,ARG
bpd_any,0.7302389705882353,0.7310338259093594,ARG_quant_5,1.0,ARG
bpd_any,0.6933117686934481,0.699200949533433,ARG_quant_5,2.0,ARG
bpd_any,0.706264998046766,0.6864965298978167,ARG_quant_5,3.0,ARG
bpd_any,0.6872012824655996,0.6937062878704275,ARG_quant_5,4.0,ARG
ivh_any,0.7494226971185496,0.7562527682075526,ARG_quant_5,0.0,ARG
ivh_any,0.7279742589524073,0.7450813474651266,ARG_quant_5,1.0,ARG
ivh_any,0.6834265845477678,0.6488623407614651,ARG_quant_5,2.0,ARG
ivh_any,0.7101232029922766,0.6840975873945321,ARG_quant_5,3.0,ARG
ivh_any,0.697558837724279,0.6611481736425414,ARG_quant_5,4.0,ARG
nec_any,0.7338558500323207,0.9000177130784843,ARG_quant_5,0.0,ARG
nec_any,0.7137104841936774,0.8796717342391074,ARG_quant_5,1.0,ARG
nec_any,0.664868901427149,0.8406636420645173,ARG_quant_5,2.0,ARG
nec_any,0.6872623056218466,0.8628731406449595,ARG_quant_5,3.0,ARG
nec_any,0.6615917865917865,0.8484660370332915,ARG_quant_5,4.0,ARG
rop_any,0.7200081927796675,0.6879230515301662,ARG_quant_5,0.0,ARG
rop_any,0.7104472396925225,0.66839667836244,ARG_quant_5,1.0,ARG
rop_any,0.6659295328414383,0.5901112355229353,ARG_quant_5,2.0,ARG
rop_any,0.6867950678002205,0.6141681716896967,ARG_quant_5,3.0,ARG
rop_any,0.6627242260006236,0.5984719348455554,ARG_quant_5,4.0,ARG
